	PLAYER	2021/22 	2022/23	2023/24	2024/25
604.	Matt Ryan	$111,669	$0	$0	$0
605.	Emmanuel Mudiay	$111,457	$0	$0	$0
606.	Carlik Jones	$106,352	$0	$0	$0
606.	Hassani Gravett	$106,352	$0	$0	$0
606.	Paris Bass	$106,352	$0	$0	$0
609.	Jordan Bell	$102,831	$0	$0	$0
609.	Cheick Diallo	$102,831	$0	$0	$0
611.	DJ Stewart	$101,034	$0	$0	$0
612.	Nate Hinton	$96,213	$0	$0	$0
613.	Derrick Walton	$95,930	$0	$0	$0
613.	DaQuan Jeffries	$95,930	$0	$0	$0
613.	Justin James	$95,930	$0	$0	$0
613.	Scotty Hopson	$95,930	$0	$0	$0
613.	BJ Johnson	$95,930	$0	$0	$0
613.	Jaylen Morris	$95,930	$0	$0	$0
619.	Demetrius Jackson	$92,857	$92,857	$92,857	$0
620.	Chris Clemons	$85,578	$0	$0	$0
620.	Cameron Oliver	$85,578	$0	$0	$0
620.	Malik Newman	$85,578	$0	$0	$0
620.	George King	$85,578	$0	$0	$0
620.	Jemerrio Jones	$85,578	$0	$0	$0
620.	Emanuel Terry	$85,578	$0	$0	$0
626.	Jared Harper	$85,081	$0	$0	$0
627.	Gabriel Lundberg	$79,764	$0	$0	$0
628.	Jordan Schakel	$53,176	$502,080	$0	$0
628.	Anthony Barber	$53,176	$0	$0	$0
628.	Malik Ellison	$53,176	$0	$0	$0
628.	Justin Tillman	$53,176	$0	$0	$0
628.	Tre Scott	$53,176	$0	$0	$0
628.	Jaysean Paige	$53,176	$0	$0	$0
628.	Trayvon Palmer	$53,176	$0	$0	$0
628.	Micah Potter	$53,176	$0	$0	$0
628.	Ahmad Caver	$53,176	$0	$0	$0
